HI_wl,prob,index,value,lon,lat
0.85,0.99,HWD,9.90006815283824,120.75,52.25
0.85,0.999,HWD,3.82149709256398,120.75,52.25
0.85,0.9999,HWD,3.24748029069766,120.75,52.25
1.5,0.9,HWD,75.2907268170426,120.75,52.25
1.5,0.95,HWD,45.8922305764411,120.75,52.25
1.5,0.99,HWD,16.3385547201337,120.75,52.25
1.5,0.999,HWD,6.33400917153565,120.75,52.25
1.5,0.9999,HWD,5.41371337618079,120.75,52.25
2,0.9,HWD,88.6441102756892,120.75,52.25
2,0.95,HWD,56.0751879699248,120.75,52.25
2,0.99,HWD,21.3414786967419,120.75,52.25
2,0.999,HWD,8.31583024547014,120.75,52.25
2,0.9999,HWD,6.9996740255743,120.75,52.25
3.5,0.9,HWD,131.769423558897,120.75,52.25
3.5,0.95,HWD,92.2506265664161,120.75,52.25
3.5,0.99,HWD,42.6766917293233,120.75,52.25
3.5,0.999,HWD,19.5647869674186,120.75,52.25
3.5,0.9999,HWD,16.6028822055138,120.75,52.25
0.85,0.9,HWI,8.18483772781955,120.75,52.25
0.85,0.95,HWI,6.32348196190476,120.75,52.25
0.85,0.99,HWI,3.62936603022948,120.75,52.25
